workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_11dd1b39b7083eabae20c8ee,0.95,16,ceiling,preload_all,6,0.995251310105312,0.2056522050588526,AF/DF midpoint before one log-log slope per workload-design
workload_11dd1b39b7083eabae20c8ee,0.95,16,floor,preload_all,5,0.8547303331974401,-0.0945455904050517,AF/DF midpoint before one log-log slope per workload-design
workload_11dd1b39b7083eabae20c8ee,0.95,16,nearest,preload_all,5,0.9176364645889676,0.1634554765363278,AF/DF midpoint before one log-log slope per workload-design
workload_14af3ee9045ab488554baa47,0.5,4,ceiling,preload_all,5,0.8368585152311853,-1.2711952111827147,AF/DF midpoint before one log-log slope per workload-design
workload_14af3ee9045ab488554baa47,0.5,4,floor,preload_all,6,0.9899179245843236,0.5105138661314529,AF/DF midpoint before one log-log slope per workload-design
workload_14af3ee9045ab488554baa47,0.5,4,nearest,preload_all,6,0.8287799595187091,-0.9058145771222412,AF/DF midpoint before one log-log slope per workload-design
workload_15258477fb7e20ad55c00cd8,1.25,4,ceiling,preload_all,6,1.018102813246688,0.5432724641527129,AF/DF midpoint before one log-log slope per workload-design
workload_15258477fb7e20ad55c00cd8,1.25,4,floor,preload_all,6,1.092899590664563,1.521521242620625,AF/DF midpoint before one log-log slope per workload-design
workload_15258477fb7e20ad55c00cd8,1.25,4,nearest,preload_all,6,0.9915998628251612,0.6023436212178791,AF/DF midpoint before one log-log slope per workload-design
workload_15a6c4685256d682bdacc32e,0.5,8,ceiling,preload_all,4,1.021030522387052,-0.1435329125132867,AF/DF midpoint before one log-log slope per workload-design
workload_15a6c4685256d682bdacc32e,0.5,8,floor,preload_all,6,0.9792498361330176,0.5282019208790041,AF/DF midpoint before one log-log slope per workload-design
workload_15a6c4685256d682bdacc32e,0.5,8,nearest,preload_all,6,0.9054826655920436,-0.4162991798707145,AF/DF midpoint before one log-log slope per workload-design
workload_15b7eb87d1fe284c9ee69e16,0.8,8,ceiling,preload_all,5,0.8655835333502052,-0.8392739156498352,AF/DF midpoint before one log-log slope per workload-design
workload_15b7eb87d1fe284c9ee69e16,0.8,8,floor,preload_all,5,0.9919917623969232,0.725089888083755,AF/DF midpoint before one log-log slope per workload-design
workload_15b7eb87d1fe284c9ee69e16,0.8,8,nearest,preload_all,5,1.19491932321195,1.8598312359056128,AF/DF midpoint before one log-log slope per workload-design
